编号,钢厂,日期,时间,铜板,类型,Vx,Vy,Vc,Sticking_Expansion,Height,Width,Area,Edgenum,Gave,Fourier,,
141,南钢,2016/2/10,21:51:29,内弧宽面Tv,稳态,0.056,2.57,0.9,0.527,2.35,14.564,25.167,39,0.335,0.714,,
142,南钢,2016/2/10,21:51:41,外弧宽面Tv,稳态,0.056,1.028,0.9,0.615,4.23,26.559,79.124,72,0.367,0.744,,
143,南钢,2016/2/10,21:51:45,外弧宽面Tv,稳态,0.536,-0.103,0.9,0.917,16.45,20.562,204.755,163,0.64,0.204,,
144,南钢,2016/2/10,21:51:59,内弧宽面Tv,误报,0.085,0.514,0.9,0.51,23.5,81.39,1139.138,318,0.617,3.532,,
145,南钢,2016/2/11,01:00:26,内弧宽面Tv,稳态,0.31,0.925,0.9,0.427,23.5,50.547,916.062,274,0.522,0.436,,
146,南钢,2016/2/11,01:00:48,内弧宽面Tv,误报,0.423,0.206,0.9,0.447,23.5,33.413,512.391,239,0.722,0.198,,
147,南钢,2016/7/27,16:14:16,内弧宽面Tv,稳态,0.197,0,0.57,-119.835,7.52,20.825,113.864,96,0.452,3.692,,
148,南钢,2016/7/27,16:14:22,内弧宽面Tv,稳态,0.874,-0.5,0.62,-21.478,20.68,31.932,452.683,214,0.483,0.24,,
149,南钢,2016/7/27,16:14:28,内弧宽面Tv,误报,0.367,1.916,0.67,1.857,8.46,22.907,142.086,107,0.449,2.664,,
150,南钢,2016/7/27,16:14:33,内弧宽面Tv,稳态,0.169,-1,0.7,2.077,8.46,59.004,350.891,202,0.553,0.276,,
151,南钢,2016/7/27,16:14:38,外弧宽面Tv,稳态,0.254,0,0.7,0.031,16.215,68.723,817.93,272,0.395,0.54,,
152,南钢,2016/7/27,16:14:48,外弧宽面Tv,稳态,0.423,0.916,0.7,-1.385,17.155,37.485,282.213,188,0.356,0.313,,
153,南钢,2016/7/27,16:14:48,内弧宽面Tv,稳态,0.028,-1.166,0.7,-0.099,3.76,17.354,46.655,60,0.343,0.828,,
154,南钢,2016/7/27,16:14:58,内弧宽面Tv,稳态,0.479,-1.666,0.7,-21.004,23.5,31.93,407.477,220,0.433,0.296,,
155,南钢,2015/6/18,05:52:57,外弧宽面Tv,漏钢,0.536,0.639,0.85,0.228,23.5,52.516,716.507,287,0.633,0.89,,
156,南钢,2016/8/1,07:55:52,内弧宽面Tv,稳态,0.056,-2.792,0.75,0.018,4.935,16.375,62.785,63,0.392,2.338,,
157,南钢,2016/8/1,07:55:57,外弧宽面Tv,稳态,0.959,0.103,0.75,1.268,16.685,16.374,183.283,146,0.373,0.139,,
158,南钢,2016/8/1,07:56:02,内弧宽面Tv,稳态,0.31,2.379,0.75,0.961,8.225,14.651,94.173,87,0.371,0.347,,
159,南钢,2016/8/1,07:56:06,内弧宽面Tv,稳态,0.508,-1.655,0.75,-94.542,12.925,21.545,104.502,130,0.327,0.231,,
160,南钢,2016/8/1,07:56:11,内弧宽面Tv,误报,0.423,1.758,0.75,-31.923,17.155,31.025,294.873,163,0.448,0.193,,
161,南钢,2016/8/1,07:56:16,内弧宽面Tv,稳态,0.169,-1.965,0.75,0.824,7.05,31.025,157.158,101,0.496,1.683,,
162,南钢,2016/8/1,07:56:24,内弧宽面Tv,稳态,0.254,-0.517,0.75,-262.871,6.58,18.96,93.971,79,0.558,1.013,,
163,南钢,2016/8/2,21:48:47,内弧宽面Tv,误报,0.028,1.202,0.95,0.479,23.5,48.815,803.007,339,0.602,1.648,,
164,南钢,2016/8/2,21:48:55,内弧宽面Tv,稳态,0.028,0,0.95,-0.131,23.5,41.931,683.291,291,0.682,0.316,,
165,南钢,2016/8/2,21:49:00,内弧宽面Tv,稳态,0.197,1.277,0.95,-0.209,23.5,43.183,559.457,285,0.561,0.371,,
166,南钢,2016/8/2,21:49:14,右侧窄面Tv,稳态,0.705,0.234,0.29,1.431,15.745,14.3,178.718,153,0.493,0.13,,
167,南钢,2016/8/4,07:25:29,内弧宽面Tv,稳态,0.056,0.517,0.7,-0.471,5.17,22.407,91.54,75,0.392,2.115,,
168,南钢,2016/8/4,07:25:39,外弧宽面Tv,稳态,0.028,-0.931,0.7,-1.626,2.585,7.756,13.974,29,0.319,8.181,,
169,南钢,2016/8/4,07:26:15,内弧宽面Tv,误报,0.056,0.414,0.7,-0.093,4.465,16.374,54.479,57,0.405,12.1,,
170,南钢,2016/8/4,07:26:21,内弧宽面Tv,稳态,0.056,0.103,0.1,-1.467,3.525,15.512,39.897,49,0.398,2.333,,
171,南钢,2016/8/4,08:44:31,内弧宽面Tv,误报,1.241,1.551,0.7,-20.951,22.09,31.885,478.341,208,0.549,0.146,,
172,南钢,2016/8/4,08:44:37,内弧宽面Tv,稳态,0.197,0,0.7,0.592,6.58,14.651,73.313,72,0.412,0.595,,
173,南钢,2016/8/4,08:44:46,内弧宽面Tv,稳态,0.085,-0.414,0.7,-306.609,4.23,10.342,32.404,47,0.349,0.692,,
